Zeitstempel,Strombilanz Schweiz,Strombudget Schweiz,Stromverbrauch Schweiz
2008-12-31 20:00:00+00:00,157236.3660000004,2483476.415,2326240.0489999996
2009-01-01 00:00:00+00:00,207165.50287499977,2395700.4705,2188534.967625
2009-01-01 04:00:00+00:00,239372.7488124997,2255716.7160624997,2016343.96725
2009-01-01 08:00:00+00:00,258042.4653124998,2299325.0714375,2041282.6061250002
2009-01-01 12:00:00+00:00,231311.55256250035,2364612.92875,2133301.3761874996
2009-01-01 16:00:00+00:00,144529.37962500006,2453269.530875,2308740.15125
2009-01-01 20:00:00+00:00,188678.67293749982,2442849.9350624997,2254171.262125
2009-01-02 00:00:00+00:00,259056.17406249978,2371890.5848749997,2112834.4108125
2009-01-02 04:00:00+00:00,241629.7862499999,2372112.3340625,2130482.5478125
2009-01-02 08:00:00+00:00,153196.9697499997,2591984.0551875,2438787.0854375004
2009-01-02 12:00:00+00:00,117042.71143750055,2617273.7505625,2500231.0391249997
2009-01-02 16:00:00+00:00,120849.0286875004,2706716.9156250004,2585867.8869375
2009-01-02 20:00:00+00:00,141027.69756250037,2703818.1298125,2562790.4322499996
2009-01-03 00:00:00+00:00,162773.14356250037,2699822.0096875,2537048.8661249997
2009-01-03 04:00:00+00:00,177827.1168124997,2717225.45075,2539398.3339375
2009-01-03 08:00:00+00:00,132272.65831250045,3008017.3319375003,2875744.673625
2009-01-03 12:00:00+00:00,129831.2141250004,3133688.6514375005,3003857.4373125
2009-01-03 16:00:00+00:00,124439.7737499997,3094610.7042499995,2970170.9305
2009-01-03 20:00:00+00:00,117252.36456249934,2899503.1414375,2782250.7768750004
2009-01-04 00:00:00+00:00,197107.0211249995,2637362.0783749996,2440255.05725
2009-01-04 04:00:00+00:00,226334.91556249978,2598490.2819999997,2372155.3664375
2009-01-04 08:00:00+00:00,133126.2626875001,2646397.9120625,2513271.649375
2009-01-04 12:00:00+00:00,121717.52100000018,2607254.5425,2485537.0215
2009-01-04 16:00:00+00:00,125426.9634999996,2870804.198,2745377.2345000003
2009-01-04 20:00:00+00:00,130833.47868750058,2734839.9826875003,2604006.5039999997
2009-01-05 00:00:00+00:00,245053.11943750083,2563007.0498750005,2317953.9304374997
2009-01-05 04:00:00+00:00,179521.66831250023,2892392.7805625,2712871.11225
2009-01-05 08:00:00+00:00,134315.28306249995,3226771.7916874997,3092456.508625
2009-01-05 12:00:00+00:00,128129.45456250012,3177009.6389375,3048880.1843749997
2009-01-05 16:00:00+00:00,135403.8503124998,3223816.60725,3088412.7569375
2009-01-05 20:00:00+00:00,138856.58606250072,2833671.6712500006,2694815.0851875
2009-01-06 00:00:00+00:00,142776.87575000012,2647304.9497499997,2504528.0739999996
2009-01-06 04:00:00+00:00,144402.05374999996,2801061.556875,2656659.503125
2009-01-06 08:00:00+00:00,134652.99543750007,3151594.526375,3016941.5309375
